SPECIES,bins,size,Source
Anochetus mayri,,12,Antwiki Wheeler 1908
Aphaenogaster ashmeadi,,423,Deyrup 2016
Aphaenogaster ashmeadi,,175,Deyrup 2016
Aphaenogaster ashmeadi,,423,Deyrup 2016
Aphaenogaster ashmeadi,,168,"Tschinkel, W. R. 2011. J. Insect Science 11:1–30"
Aphaenogaster ashmeadi,,333,Van Pelt Ref in Deyrup
Aphaenogaster carolinensis,,,Deyrup 2016
Aphaenogaster carolinensis,,42,Doug Booher Collection
Aphaenogaster carolinensis,,16,Doug Booher Collection
Aphaenogaster flemingi,,300,Deyrup 2016
Aphaenogaster flemingi,,300,King
Aphaenogaster floridana,,50,King 2007
Aphaenogaster floridana,,183,"Tschinkel, W. R. 2011. J. Insect Science 11:1–30."
Aphaenogaster floridana,,50,King
Aphaenogaster fulva,,800,Deyrup 2016
Aphaenogaster fulva,,281,Burchill
Aphaenogaster lamellidens,,600,Deyrup 2016
Aphaenogaster lamellidens,,600,Deyrup 2016
Aphaenogaster lamellidens,,300,King
Aphaenogaster mariae,,300,Deyrup 2016
Aphaenogaster miamiana,,800,Deyrup 2016
Aphaenogaster rudis,,738,"Talbot 1964 in ""Populations of ants in a Missouri Woodland"""
Aphaenogaster rudis,,303,Burchill
Aphaenogaster rudis,,507,"D. Lubertazzi and E. S. Adams, “Bayesian analysis of split sex ratios: methods and application to the ant Aphaenogaster rudis,” Evolutionary Ecology Research, vol. 12, no. 2, pp. 169–188, 2010."
Aphaenogaster rudis,,326,Burchill
Aphaenogaster tennesseensis,,600,Carrol 1975 
Aphaenogaster treatae,,200,Deyrup 2016
Aphaenogaster treatae,,682,"Deyrup 2016, Burchill"
Aphaenogaster treatae,,300,King
Aphaenogaster umphreyi,,,
Brachymyrmex depilis,,22,Burchill
Brachymyrmex depilis,,200,King
Brachymyrmex minutus,,125,Antwiki
Brachymyrmex obscurior,,200,King
Brachymyrmex patagonicus,,300,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Camponotus americanus,,3560,Burchill
Camponotus caryae,,,
Camponotus castaneus,,350,King
Camponotus decipiens,,250,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Camponotus discolor,,70,King
Camponotus floridanus,,10000,King
Camponotus inaequalis,,,
Camponotus nearcticus,,69,Burchill
Camponotus novogranadensis,,,
Camponotus pennsylvanicus ,,2222,Burchill
Camponotus planatus,,,
Camponotus sexguttatus,,300,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Camponotus snellingi,,1550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Camponotus socius,,590,Burchill
Camponotus socius,,590,Burchill
Cardiocondyla emeryi,,50,King
Cardiocondyla mauritanica,,250,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Cardiocondyla minutior,,50,King
Cardiocondyla obscurior,,250,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Cardiocondyla venustula,,150,Antwiki
Cardiocondyla wroughtonii,,50,King
Cardiocondyla nuda,,50,King
Cephalotes varians,,1000,Burchill
Colobopsis impressa,,180,Deyrup
Colobopsis obliqua,,,
Colobopsis riehlii,,,
Crematogaster ashmeadi,,3260,https://doi.org/10.1111/phen.12099
Crematogaster ashmeadi,,10000,King
Crematogaster atkinsoni,,500,King
Crematogaster cerasi,,,
Crematogaster lineolata,,15,Doug Booher Collection
Crematogaster lineolata,,178,Doug Booher Collection
Crematogaster laeviuscula,hundreds,,
Crematogaster lineolata,,200,King
Crematogaster minutissima,,313,Doug Booher Collection
Crematogaster minutissima,,208,Burchill
Crematogaster minutissima,,200,King
Crematogaster missouriensis,,,
Crematogaster obscurata,,,
Crematogaster parapilosa,,,
Crematogaster pilosa,,807,Loken & Oliver 2016
Crematogaster pinicola,,40000,"Tschinkel 2002 paper, used conservative estimate but the max from this. Deyrup talks about how tschinkl's paper is likely on pinicola and not ashmeadi"
Crematogaster vermiculata,,1085,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Cryptopone gilva,,100,Antwiki
Cyphomyrmex minutus,,150,King
Cyphomyrmex rimosus,,100,Burchill
Cyphomyrmex rimosus,,150,King
Discothyrea testacea,,15,Antwiki
Dolichoderus mariae,,1265000,Laskis and Tschinkel 2009
Dolichoderus pustulatus,,1299,Kannowski 1967
Dorymyrmex bossutus,,1000,King
Dorymyrmex bureni,,1000,King
Dorymyrmex elegans,,1000,King
Dorymyrmex flavus,,,
Dorymyrmex flavopectus,,,
Dorymyrmex grandulus,,1000,King
Dorymyrmex reginicula,,1000,King
Dorymyrmex smithi,,,
Eurhopalothrix floridana,,100,Booher
Forelius pruinosus,,10000,King
Formica archboldi,,1210,Deyrup
Formica archboldi,,500,King
Formica archboldi,,493,King 2007
Formica biophilica,,,
Formica dolosa,,630,King 2007
Formica pallidefulva,,424,King 2007
Formica subsericea,,8916,Burchill
Gnamptogenys triangularis,,100,Lattke 1990 in Deyrup
Hypoponera inexorata,,12,Burchill
Hypoponera inexorata,,50,King
Hypoponera opaciceps,,50,King
Hypoponera opaciceps,,40,Van Pelt (1958)
Hypoponera opacior,,50,King 2007
Hypoponera punctatissima,,102,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Lasius alienus,,3000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Lasius americanus,,3000,Burchill
Lasius aphidicola,,,
Lasius claviger,temp. parasite,,
Lasius interjectus,,,
Lasius neoniger,,100,Deyrup
Lasius umbratus,,3000,Burchill
Leptogenys manni,,,
Linepithema humile,,15000,Burchill
Monomorium ebeninum,,2000,https://urbanentomology.tamu.edu/urban-pests/ants/little_black/
Monomorium floricola,,,
Monomorium minimum,,3000,Burchill
Monomorium pharaonis,,800,Burchill
Monomorium pharaonis,,2382,Burchill
Monomorium subcoecum,,,
Monomorium trageri,,,
Monomorium viridum,,10000,King
Myrmecina americana,,24,Burchill
Myrmecina americana,,50,King
Myrmelachista ramulorum,,2518550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Myrmica punctiventris,,13,Burchill
Myrmica punctiventris,,86,Burchill
Myrmica punctiventris,,50,Deyrup
Neivamyrmex carolinensis,,110000,Burchill
Neivamyrmex carolinensis,,30000,King
Neivamyrmex nigrescens,,10000,Deyrup
Neivamyrmex nigrescens,,30000,Burchill
Neivamyrmex nigrescens,,110000,Burchill
Neivamyrmex opacithorax,,30000,King
Neivamyrmex pilosus,,,
Neivamyrmex texanus,,30000,King
Nylanderia arenivaga,,100,King
Nylanderia bourbonica,,200,pers comm j williams
Nylanderia concinna,,100,King
Nylanderia faisonensis,,22,Doug Booher Collection
Nylanderia faisonensis,,64,Doug Booher Collection
Nylanderia faisonensis,,268,Burchill
Nylanderia faisonensis,,100,King
Nylanderia fulva,,300000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Nylanderia parvula,,100,King
Nylanderia phantasma,,100,King
Nylanderia pubens,,200,pers comm j williams
Nylanderia steinheili,,143,Burchill
Nylanderia vividula,,200,pers comm j williams
Nylanderia wojciki,,100,King
Ochetellus glaber,,416,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Odontomachus brunneus,,72,"Cerquera, L. M., and W. R. Tschinkel. 2008. J. Insect Sci. 10:1–12."
Odontomachus brunneus,,65,Burchill
Odontomachus brunneus,,200,King
Odontomachus haematodus,,500,Burchill
Odontomachus relictus,,200,King
Odontomachus ruginodis,,200,King
Paratrechina longicornis,,2000,Burchill
Pheidole anastasii,,,
Pheidole adrianoi,,350,King
Pheidole adrianoi,,300,Deyrup
Pheidole bicarinata,,200,Deyrup
Pheidole carrolli,,,
Pheidole crassicornis,,1000,Antweb
Pheidole dentata,,946,Burchill
Pheidole dentata,,946,Burchill
Pheidole dentigula,,300,King
Pheidole diversipilosa,,1000,Antwiki
Pheidole flavens,,1500,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Pheidole floridana,,1000,"Deyrup, King"
Pheidole lamia,,1200,Deyrup
Pheidole littoralis,,,
Pheidole megacephala,,100000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Pheidole metallescens,,534,Deyrup
Pheidole metallescens,,1000,King
Pheidole navigans,,600,King
Pheidole morrisii,,2500,"Burchill, King"
Pheidole obscurithorax,,10000,Deyrup
Pheidole tysoni,,,
Platythyrea punctata,,60,King
Pogonomyrmex badius,,2568,Burchill
Pogonomyrmex badius,,4300,Burchill
Pogonomyrmex badius,,4736,Burchill
Pogonomyrmex badius,,4500,King
