SPECIES,bins,size,Source
Aphaenogaster ashmeadi,,423,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster ashmeadi,,175,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster ashmeadi,,423,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster ashmeadi,,168,"Tschinkel, Walter. 2011. “The Organization of Foraging in the Fire Ant, Solenopsis Invicta.” Journal of Insect Science 11: 26."
Aphaenogaster ashmeadi,,333,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster carolinensis,,42,Doug Booher Collection
Aphaenogaster carolinensis,,16,Doug Booher Collection
Aphaenogaster flemingi,,300,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster flemingi,,300,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Aphaenogaster floridana,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Aphaenogaster floridana,,183,"Tschinkel, Walter. 2011. “The Organization of Foraging in the Fire Ant, Solenopsis Invicta.” Journal of Insect Science 11: 26."
Aphaenogaster floridana,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Aphaenogaster fulva,,800,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster fulva,,281,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Aphaenogaster lamellidens,,600,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster lamellidens,,600,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster lamellidens,,300,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Aphaenogaster miamiana,,800,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster picea,,450,"Clark, Robert E., and Joshua R. King. 2012. “The Ant, Aphaenogaster Picea, Benefits from Plant Elaiosomes When Insect Prey Is Scarce.” Environmental Entomology 41 (6): 1405–8."
Aphaenogaster rudis,,738,"Talbot 1964 in ""Populations of ants in a Missouri Woodland"""
