SPECIES,bins,size,Source
Aphaenogaster texana,,,
Atta texana,,10000000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Camponotus caryae,,,
Camponotus inaequalis,,,
Camponotus planatus,,,
Camponotus sansabeanus,,,
Camponotus tortuganus,,,
Crematogaster missuriensis,,,
Crematogaster obscurata,,,
Crematogaster parapilosa,,,
Dolichoderus taschenbergi,,,
Dorymyrmex flavopectus,,,
Dorymyrmex smithi,,,
Formica argentea,,,
Formica aserva,slavemaker,,
Formica difficilis,temp. parasite,,
Formica neogagates,,300,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Formica obscuriventris,,,
Formica pergandei,slavemaker,,
Formica postoculata,temp. parasite,,
Formica querquetulana,temp. parasite,,
Formica rubicunda,slavemaker,,
Formica subaenescens,,,
Gnamptogenys hartmani,,550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Lasius aphidicola,used umbratus because it's a junior synonym,3000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Lasius brevicornis,,,
Lasius claviger,temp. parasite,,
Lasius interjectus,temp. parasite,,
Lasius latipes,temp. parasite,,
Lasius murphyi,temp. parasite,,
Lasius pallitarsis,,,
Lasius plumopilosus,hyperparasite(?),,
Lasius pubescens,temp. parasite,,
Lasius speculiventris,,,
Lasius subglaber,,,
Leptogenys elongata,,50,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Leptogenys manni,,,
Trichomyrmex destructor,,,
Monomorium ebeninum,,,
Monomorium floricola,,,
Monomorium trageri,very rare,,
Mycetosoritis hartmanni,,50,"Ferguson-Gow, Henry, et al. ""Colony size predicts division of labour in attine ants."" Proceedings of the Royal Society B: Biological Sciences 281.1793 (2014): 20141411."
Myrmelachista ramulorum,,,
Myrmica incompleta,,918.5,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Myrmica scabrinodis,,200,antwiki
Myrmica sculptilis,,,
Neivamyrmex melshaemeri,,,
Neivamyrmex moseri,,,
Neivamyrmex pauxillus,,,
Neivamyrmex pilosus,,,
Neivamyrmex swainsonii,,,
Nylanderia flavipes,,890,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Nylanderia fulva,assuming pubens and fulva are the same,300000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Nylanderia guatemalensis,,,
Nylanderia querna,,,
Nylanderia terricola,,,
Odontomachus clarus,,200,antwiki
Pachycondyla harpax,,150,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Pheidole carrolli,,,
Pheidole davisi,,,
Pheidole littoralis,,,
Pheidole pelor,,,
Pheidole soritis,,,
Pheidole tetra,,,
Pheidole tysoni,,,
Plagiolepis alluaudi,,,
Pogonomyrmex barbatus,,21000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Pogonomyrmex comanche,,,
Polyergus mexicanus,slavemaker,,
Polyergus montivagus,slavemaker,,
Polyergus oligergus,,40,"Joshua R. King , James C. Trager, Natural history of the slave making ant, Polyergus lucidus, sensu lato in northern Florida and its three Formica pallidefulva group hosts, Journal of Insect Science, Volume 7, Issue 1, 2007, 42, https://doi.org/10.1673/031.007.4201"
Polyergus ruber,,1000,antwiki
Poneracantha triangularis,80-120,120,antwiki
Prionopelta antillana,282-709,709,"Ladino, Natalia, and Rodrigo M. Feitosa. ""Taxonomic revision of the genus Prionopelta Mayr, 1866 (Formicidae: Amblyoponinae) for the Neotropical region."" Zootaxa 4821.2 (2020): 201-249."
Pseudomyrmex cubaensis,,,
Pseudomyrmex leptosus,,,
Pseudomyrmex seminole,,,
Pseudomyrmex simplex,,,
Solenopsis corticalis,,,
Solenopsis nickersoni,,,
Solenopsis salina,,,
Solenopsis subterranea,,,
Solenopsis xyloni,,,
Stenamma foveolocephalum,,,
Stigmatomma trigonignathum,,,
Strumigenys abdita,,,
Strumigenys angulata,,,
Strumigenys archboldi,,,
Strumigenys bimarginata,,,
Strumigenys boltoni,,,
Strumigenys carolinensis,,,
Strumigenys deyrupi,,,
Strumigenys filirrhina,,,
Strumigenys filitalpa,,,
Strumigenys gundlachi,,,
Strumigenys hyalina,,,
Strumigenys inopina,,,
Strumigenys lanuginosa,,,
Strumigenys metazytes,,,
Strumigenys ohioensis,,,
Strumigenys reflexa,,,
Strumigenys reliquia,,,
Strumigenys rogeri,,,
Strumigenys silvestrii,,,
Strumigenys subnuda,,,
Strumigenys wrayi,,,
Syscia augustae,,12,antwiki
Temnothorax minutissimus,workerless parasite,,
Temnothorax torrei,,,
Tetramorium caldarium,,,
Tetramorium lanuginosum,,,
Trachymyrmex turrifex,,,
