Subfamily,Genus,Genus.Species,caste,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology
Ponerinae,Anochetus,Anochetus.mayri,worker,12,Antwiki Wheeler 1908,,Leaf Litter,Predator,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.ashmeadi,worker,423,Deyrup 2016,,Ground,Predator,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.ashmeadi,worker,175,Deyrup 2016,median value between 100-250,Ground,Predator,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.ashmeadi,worker,423,Deyrup 2016,,Ground,Predator,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.ashmeadi,worker,168,"Tschinkel, W. R. 2011. J. Insect Science 11:1–30",,Ground,Predator,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.ashmeadi,worker,333,Van Pelt Ref in Deyrup,,Ground,Predator,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.carolinensis,worker,,Deyrup 2016,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.carolinensis,worker,42,Doug Booher Collection,Unpublished research,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.carolinensis,worker,16,Doug Booher Collection,Unpublished research,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.flemingi,worker,300,Deyrup 2016,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.flemingi,worker,300,King,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.floridana,worker,50,King 2007,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.floridana,worker,183,"Tschinkel, W. R. 2011. J. Insect Science 11:1–30.",,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.floridana,worker,50,King,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.fulva,worker,,,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.fulva,worker,800,Deyrup 2016,Up to 800 workers,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.fulva,worker,281,Burchill,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.lamellidens,worker,600,Deyrup 2016,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.lamellidens,worker,600,Deyrup 2016,Up to 600 workers,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.lamellidens,worker,300,King,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.mariae,worker,300,Deyrup 2016,,Arboreal,Omnivore,Native,Monomorphic,"Possible parasite, rarely sampled"
Myrmicinae,Aphaenogaster,Aphaenogaster.miamiana,worker,800,Deyrup 2016,,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.rudis,worker,738,"Talbot 1964 in ""Populations of ants in a Missouri Woodland""",,Mixed,Omnivore,Native,Monomorphic," (not in book, but determined by Deyrup from Eglin AFB left)"
Myrmicinae,Aphaenogaster,Aphaenogaster.rudis,worker,303,Burchill,,Mixed,Omnivore,Native,Monomorphic," (not in book, but determined by Deyrup from Eglin AFB left)"
Myrmicinae,Aphaenogaster,Aphaenogaster.rudis,worker,507,"D. Lubertazzi and E. S. Adams, “Bayesian analysis of split sex ratios: methods and application to the ant Aphaenogaster rudis,” Evolutionary Ecology Research, vol. 12, no. 2, pp. 169–188, 2010.",,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.rudis,worker,326,Burchill,,Mixed,Omnivore,Native,Monomorphic," (not in book, but determined by Deyrup from Eglin AFB left)"
Myrmicinae,Aphaenogaster,Aphaenogaster.tennesseensis,worker,600,Carrol 1975 ,Up to 600 workers,Mixed,Omnivore,Native,Monomorphic,"suspected parasite of other aphaenogaster, rare"
Myrmicinae,Aphaenogaster,Aphaenogaster.treatae,worker,200,Deyrup 2016,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.treatae,worker,682,"Deyrup 2016, Burchill",65-1662,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.treatae,worker,300,King,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Aphaenogaster,Aphaenogaster.umphreyi,worker,,,,Ground,Omnivore,Native,Monomorphic,Very little known about this
Formicinae,Brachymyrmex,Brachymyrmex.depilis,worker,22,Burchill,,Mixed,Omnivore,Native,Monomorphic,
Formicinae,Brachymyrmex,Brachymyrmex.depilis,worker,200,King,,Mixed,Omnivore,Native,Monomorphic,
Formicinae,Brachymyrmex,Brachymyrmex.minutus,worker,125,Antwiki,100-150,Ground,Omnivore,Nonnative,Monomorphic,Very little known about this
Formicinae,Brachymyrmex,Brachymyrmex.obscurior,worker,200,King,,Mixed,Omnivore,Nonnative,Monomorphic,Very weedy
Formicinae,Brachymyrmex,Brachymyrmex.patagonicus,worker,,,,Mixed,Omnivore,Nonnative,Monomorphic,
Formicinae,Camponotus,Camponotus.americanus,major,3560,Burchill,,Ground,Omnivore,Native,Polymorphic,Nocturnal
Formicinae,Camponotus,Camponotus.americanus,worker,3560,Burchill,,Ground,Omnivore,Native,Polymorphic,Nocturnal
Formicinae,Camponotus,Camponotus.caryae,major,,,,Arboreal,,Native,Polymorphic,"Very rare,  image not found"
Formicinae,Camponotus,Camponotus.caryae,worker,,,,Arboreal,,Native,Polymorphic,Very rare
Formicinae,Camponotus,Camponotus.castaneus,major,350,King,,Ground,Omnivore,Native,Polymorphic,Nocturnal
Formicinae,Camponotus,Camponotus.castaneus,worker,350,King,,Ground,Omnivore,Native,Polymorphic,Nocturnal
Formicinae,Camponotus,Camponotus.decipiens,major,,,,Arboreal,,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.decipiens,worker,,,,Arboreal,,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.discolor,major,70,King,,Arboreal,Omnivore,Native,Polymorphic,Very rare
Formicinae,Camponotus,Camponotus.discolor,worker,70,King,,Arboreal,Omnivore,Native,Polymorphic,"Very rare,  image not found"
Formicinae,Camponotus,Camponotus.floridanus,major,10000,King,,Ground,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.floridanus,worker,10000,King,,Ground,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.inaequalis,worker,,,,Ground,Omnivore,Nonnative,Polymorphic,"Taxonomy is wonky, (can't find image on ant web)"
Formicinae,Camponotus,Camponotus.nearcticus,major,70,King,,Arboreal,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.nearcticus,major,70,King,,Arboreal,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.nearcticus,worker,69,Burchill,,Arboreal,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.nearcticus,worker,69,Burchill,,Arboreal,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.novogranadensis,major,,,,Arboreal,Omnivore,Nonnative,Polymorphic,
Formicinae,Camponotus,Camponotus.novogranadensis,worker,,,,Arboreal,Omnivore,Nonnative,Polymorphic,
Formicinae,Camponotus,Camponotus.pennsylvanicus,major,2222,Burchill,,Ground,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.pennsylvanicus ,worker,2222,Burchill,,Ground,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.planatus,major,,,,Mixed,Omnivore,Nonnative,Polymorphic,Diurnal forager
Formicinae,Camponotus,Camponotus.planatus,worker,,,,Mixed,Omnivore,Nonnative,Polymorphic,Diurnal forager
Formicinae,Camponotus,Camponotus.sexguttatus,major,,,,Mixed,Omnivore,Nonnative,Polymorphic,Sap-sucking insects
Formicinae,Camponotus,Camponotus.sexguttatus,worker,,,,Mixed,Omnivore,Nonnative,Polymorphic,Sap-sucking insects
Formicinae,Camponotus,Camponotus.snellingi,major,,,,Mixed,,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.snellingi,worker,,,,Mixed,,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.socius,major,350,King,,Ground,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.socius,major,350,King,,Ground,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.socius,worker,590,Burchill,,Ground,Omnivore,Native,Polymorphic,
Formicinae,Camponotus,Camponotus.socius,worker,590,Burchill,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Cardiocondyla,Cardiocondyla.emeryi,worker,50,King,,Ground,Omnivore,Nonnative,Monomorphic,polygyne
Myrmicinae,Cardiocondyla,Cardiocondyla.mauritanica,worker,,,,Ground,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Cardiocondyla,Cardiocondyla.minutior,worker,50,King,"Under ""nuda"" in Josh's paper",Ground,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Cardiocondyla,Cardiocondyla.obscurior,worker,,,,Arboreal,Omnivore,Nonnative,Monomorphic,Honey dew nectar
Myrmicinae,Cardiocondyla,Cardiocondyla.venustula,worker,150,Antwiki,100-200,Ground,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Cardiocondyla,Cardiocondyla.wroughtonii,worker,50,King,,Leaf Litter,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Cardiocondyla,Cardiocondyla.nuda,worker,50,King,,Leaf Litter,Omnivore,Nonnative,Monomorphic,
Myrmicinae,Cephalotes,Cephalotes.varians,major,1000,Burchill,,Arboreal,Omnivore,Native,Polymorphic,"Nocturnal, mostly scavengers"
Myrmicinae,Cephalotes,Cephalotes.varians,worker,1000,Burchill,,Arboreal,Omnivore,Native,Polymorphic,"Nocturnal, mostly scavengers"
Formicinae,Colobopsis,Colobopsis.impressa,worker,180,Deyrup,"146±76 minors, 34±15 majors",Mixed,Omnivore,Native,Polymorphic,
Formicinae,Colobopsis,Colobopsis.obliquus,worker,,,,Arboreal,Omnivore,Native,Polymorphic,little known
Formicinae,Colobopsis,Colobopsis.riehlii,worker,,,,Mixed,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Crematogaster,Crematogaster.ashmeadi,worker,3260,https://doi.org/10.1111/phen.12099,Back transformed from biomass data,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.ashmeadi,worker,10000,King,,Arboreal,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.atkinsoni,worker,500,King,,Arboreal,Omnivore,Native,Monomorphic,tends to aphids
Myrmicinae,Crematogaster,Crematogaster.cerasi,worker,,,hundreds according to antwiki,Mixed,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.lineolata,worker,15,Doug Booher Collection,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.lineolata,worker,178,Doug Booher Collection,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.lineolata,worker,200,King,,Ground,Omnivore,Native,Monomorphic,
Myrmicinae,Crematogaster,Crematogaster.minutissima,worker,313,Doug Booher Collection,,Leaf Litter,Omnivore,Native,Monomorphic,Polygyne
