Subfamily,Genus.Species,caste,Gyne,Source
Ponerinae,Anochetus.mayri,worker,,
Myrmicinae,Aphaenogaster.ashmeadi,worker,,
Myrmicinae,Aphaenogaster.carolinensis,worker,,
Myrmicinae,Aphaenogaster.flemingi,worker,,
Myrmicinae,Aphaenogaster.floridana,worker,,
Myrmicinae,Aphaenogaster.fulva,worker,,
Myrmicinae,Aphaenogaster.lamellidens,worker,,
Myrmicinae,Aphaenogaster.rudis,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Aphaenogaster.tennesseensis,worker,,
Myrmicinae,Aphaenogaster.treatae,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formicinae,Brachymyrmex.depilis,worker,,
Formicinae,Brachymyrmex.obscurior,worker,,
Formicinae,Camponotus.americanus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Camponotus.castaneus,worker,,
Formicinae,Camponotus.floridanus,worker,Monogyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formicinae,Camponotus.nearcticus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Camponotus.socius,worker,,
Myrmicinae,Cardiocondyla.emeryi,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Cardiocondyla.minutior,worker,Polygyne,AntWeb
Myrmicinae,Cardiocondyla.venustula,worker,Polygyne,AntWeb
Myrmicinae,Cardiocondyla.wroughtonii,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Cephalotes.varians,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Colobopsis.impressa,worker,,
Myrmicinae,Crematogaster.ashmeadi,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Crematogaster.atkinsoni,worker,Both/Facultatively polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Crematogaster.lineolata,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Crematogaster.minutissima,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Crematogaster.pilosa,worker,,
Myrmicinae,Crematogaster.pinicola,worker,,
Ponerinae,Cryptopone.gilva,worker,Polygyne,"Mackay, W.P. and E.E. MacKay. 2010. The systematics and biology of the New World ants of the genus Pachycondyla (Hymenoptera: Formicidae). Edwin Mellen Press Lewiston, NY"
Myrmicinae,Cyphomyrmex.minutus,worker,,
Myrmicinae,Cyphomyrmex.rimosus,worker,Polygyne,AntWeb
Proceratiinae,Discothyrea.testacea,worker,,
Dolichoderinae,Dolichoderus.mariae,worker,Polygyne,"Laskis, Kristina O., and Walter R. Tschinkel. 2009. “The Seasonal Natural History of the Ant, Dolichoderus Mariae, in Northern Florida.” Journal of Insect Science 9: 2."
Dolichoderinae,Dolichoderus.pustulatus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Dolichoderinae,Dorymyrmex.bossutus,worker,,
Dolichoderinae,Dorymyrmex.bureni,worker,Monogyne,AUTHOR OBS
Dolichoderinae,Dorymyrmex.elegans,worker,,
Dolichoderinae,Dorymyrmex.grandulus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Dolichoderinae,Dorymyrmex.reginicula,worker,,
Myrmicinae,Eurhopalothrix.floridana,worker,,
Dolichoderinae,Forelius.pruinosus,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formicinae,Formica.archboldi,worker,Both/Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formicinae,Formica.dolosa,worker,,
Formicinae,Formica.pallidefulva,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Formica.subsericea,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Ponerinae,Gnamptogenys.triangularis,worker,,
Ponerinae,Hypoponera.inexorata,worker,,
Ponerinae,Hypoponera.opaciceps,worker,,
Ponerinae,Hypoponera.opacior,worker,,
Formicinae,Lasius.americanus,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Lasius.umbratus,worker,,
Dolichoderinae,Linepithema.humile,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Monomorium.pharaonis,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Monomorium.viridum,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmicinae,Myrmecina.americana,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Myrmicinae,Myrmica.punctiventris,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Ecitoninae,Neivamyrmex.carolinensis,worker,Polygyne,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Ecitoninae,Neivamyrmex.nigrescens,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Ecitoninae,Neivamyrmex.texanus,worker,,
Formicinae,Nylanderia.arenivaga,worker,Monogyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Nylanderia.bourbonica,worker,Polygyne,"Frumhoff, Peter C., and Philip S. Ward. 1992. “Individual-Level Selection, Colony-Level Selection, and the Association between Polygyny and Worker Monomorphism in Ants.” The American Naturalist 139 (3). https://doi.org/10.1086/285344."
Formicinae,Nylanderia.concinna,worker,,
