Genus.Species,Caste,Image CASENT,Head_width,Head_length,Mandible_length,Eye length_1,Eye length_2,Weber_length
Anochetus.mayri,worker,casent0003324,0.737,0.722,0.427,0.095,0.11,1.145
Anochetus.mayri,worker,casent0767584,0.84,0.822,0.497,0.113,,1.215
Anochetus.mayri,worker,casent0103554,0.772,0.747,0.451,0.101,0.092,1.132
Anochetus.mayri,worker,casent0010834,0.748,0.718,0.4545,0.08,0.087,1.1115
Aphaenogaster.ashmeadi,worker,casent0103563,1.013,1.471,0.616,0.274,0.295,2.191
Aphaenogaster.ashmeadi,worker,casent0281182,0.976,1.328,0.574,0.242,,2.033
Aphaenogaster.ashmeadi,worker,casent0103560,0.997,1.335,0.2945,0.24,0.245,2.058
Aphaenogaster.carolinensis,worker,fmnhins0000049642,0.969,1.269,0.584,0.265,0.258,1.929
Aphaenogaster.carolinensis,worker,casent0906104,0.775,1.048,0.479,0.216,0.229,1.594
Aphaenogaster.carolinensis,worker,casent0103574,0.776,1.084,0.2285,0.224,0.227,1.494
Aphaenogaster.flemingi,worker,casent0103579,0.895,1.24,0.302,0.23,0.231,1.9145
Aphaenogaster.floridana,worker,casent0103583,1.02,1.433,0.318,0.291,0.295,2.0195
Aphaenogaster.fulva,worker,casent0103585,1.087,1.278,0.2425,0.243,0.238,1.6705
Aphaenogaster.fulva,worker,casent0104859,0.959,1.206,0.566,0.211,0.228,1.647
Aphaenogaster.fulva,worker,casent0105670,0.976,1.238,0.614,,0.24,1.796
Aphaenogaster.fulva,worker,casent0904167,0.828,1.075,0.507,0.211,0.183,1.405
Aphaenogaster.fulva,worker,focol1231,1.108,1.465,0.695,0.281,0.288,2.175
Aphaenogaster.lamellidens,worker,casent0103589,1.1615,1.454,0.321,0.251,0.261,2.1705
Aphaenogaster.lamellidens,worker,casent0105570,0.938,1.263,0.539,0.245,0.154,1.186
Aphaenogaster.lamellidens,worker,casent0900413,0.897,1.109,0.598,0.222,0.223,1.748
Aphaenogaster.lamellidens,worker,casent0914470,1.113,1.465,0.633,0.276,,2.266
Aphaenogaster.lamellidens,worker,casent0919793,1.059,1.469,0.652,0.252,,2.204
Aphaenogaster.mariae,worker,casent0105571,1.203,1.489,0.733,0.294,0.257,1.77
Aphaenogaster.mariae,worker,casent0907688,0.97,1.133,0.616,0.24,0.28,1.887
Aphaenogaster.mariae,worker,casent0103599,0.831,1.095,0.2355,0.184,0.191,1.4155
Aphaenogaster.miamiana,worker,casent0103595,0.979,1.3,0.591,0.279,0.279,1.854
Aphaenogaster.miamiana,worker,casent0105579,2.037,2.709,1.16,0.59,0.304,1.993
Aphaenogaster.miamiana,worker,casent0904168,1.086,1.309,0.634,0.259,0.226,1.718
Aphaenogaster.miamiana,worker,casent0914472,1.206,1.573,0.667,0.307,0.304,2.322
Aphaenogaster.rudis,worker,casent0914476,0.839,1.115,0.521,0.209,0.233,1.63
Aphaenogaster.rudis,worker,fmnhins0000062941,0.876,1.113,0.534,0.233,0.249,1.758
Aphaenogaster.rudis,worker,casent0104843,0.955,1.208,0.2395,0.225,0.228,1.671
Aphaenogaster.tennesseensis,worker,casent0103600,1.102,1.283,0.2795,0.229,0.226,1.7675
Aphaenogaster.tennesseensis,worker,casent0105672,1.154,1.28,0.68,0.262,0.239,1.856
Aphaenogaster.tennesseensis,worker,casent0916081,1.061,1.226,0.593,0.232,0.21,1.756
Aphaenogaster.tennesseensis,worker,fmnhins0000062930,1.121,1.276,0.652,0.242,0.254,1.89
Aphaenogaster.treatae,worker,casent0914485,1.113,1.494,0.36,0.277,0.276,2.231
Aphaenogaster.treatae,worker,casent0103609,0.933,1.258,0.557,,0.262,1.779
Aphaenogaster.treatae,worker,casent0900414,1.055,1.228,0.661,0.253,0.228,1.799
Aphaenogaster.treatae,worker,casent0907701,1.044,1.378,0.636,0.236,0.253,2.018
Aphaenogaster.treatae,worker,casent0923377,0.876,1.159,0.547,0.22,0.221,1.778
Aphaenogaster.umphreyi,worker,casent0103612,0.9855,1.171,0.291,0.165,0.165,1.7005
Aphaenogaster.umphreyi,worker,casent0900416,0.787,0.96,0.524,,,1.478
Brachymyrmex.depilis,worker,MCZ-ENT00672722,0.374,0.424,0.062,0.082,0.083,0.406
Brachymyrmex.depilis,worker,casent0005338,0.402,0.476,0.183,0.101,0.09,
Brachymyrmex.depilis,worker,casent0106038,0.358,0.409,0.191,0.078,0.081,0.372
Brachymyrmex.depilis,worker,casent0179481,0.424,0.461,0.21,0.084,0.099,0.454
Brachymyrmex.depilis,worker,fmnhins0000062867,0.344,0.386,0.171,0.075,0.078,0.364
Brachymyrmex.minutus,worker,casent0249946,0.291,0.335,0.147,0.076,0.076,0.33
Brachymyrmex.minutus,worker,casent0767579,0.299,0.344,0.139,0.081,0.076,0.337
Brachymyrmex.minutus,worker,casent0903121,0.305,0.375,,0.085,0.075,0.367
Brachymyrmex.minutus,worker,fmnhins0000088667,0.399,0.441,0.168,0.101,0.094,0.392
Brachymyrmex.minutus,worker,casent0602037,0.3155,0.367,0.0375,0.088,0.088,0.38
Brachymyrmex.obscurior,worker,casent0219802,0.412,0.443,0.0675,0.1,0.103,0.44
Brachymyrmex.obscurior,worker,casent0104889,0.509,0.527,,0.112,0.096,0.476
Brachymyrmex.obscurior,worker,casent0219804,0.873,0.966,0.403,0.218,0.229,0.974
Brachymyrmex.obscurior,worker,casent0249949,0.363,0.397,0.166,0.091,0.074,0.378
Brachymyrmex.obscurior,worker,casent0903120,0.422,0.461,0.21,0.115,,0.462
Brachymyrmex.obscurior,worker,usnment00757132,0.365,0.408,0.196,0.101,0.089,0.32
Brachymyrmex.patagonicus,worker,casent0173480,0.487,0.541,0.257,0.154,0.157,0.546
Brachymyrmex.patagonicus,worker,casent0249945,0.403,0.435,0.218,0.123,0.117,0.475
Brachymyrmex.patagonicus,worker,casent0915732,0.488,0.532,0.254,0.113,,0.505
Brachymyrmex.patagonicus,worker,casent0915986,0.402,0.444,0.198,0.142,0.144,0.435
Brachymyrmex.patagonicus,worker,casent0915987,0.412,0.464,0.0225,0.136,0.137,0.4905
Camponotus.americanus,worker,casent0172605,2.248,2.647,1.062,0.627,0.588,3.601
Camponotus.americanus,worker,casent0179851,1.877,2.369,0.902,0.567,0.517,3.28
Camponotus.americanus,worker,casent0280004,2.177,2.5,0.94,0.609,0.542,3.413
Camponotus.americanus,worker,casent0911614,1.909,2.357,0.826,0.568,0.569,3.634
Camponotus.americanus,worker,casent0280005,1.3065,1.974,0.2195,0.47,0.463,3.043
Camponotus.americanus,major,casent0911613,2.693,3.019,0.2365,0.628,0.63,3.889
Camponotus.caryae,worker,casent0103652,1.526,1.62,0.3505,0.378,0.382,2.2965
Camponotus.caryae,worker,casent0249371,1.229,1.384,0.565,0.428,0.392,1.878
Camponotus.caryae,worker,casent0914444,1.194,1.341,0.474,0.375,,1.928
Camponotus.caryae,major,fmnhins0000045723,2.105,2.098,0.743,0.472,0.463,2.701
Camponotus.castaneus,worker,casent0104761,1.891,2.367,0.819,0.56,0.615,3.886
Camponotus.castaneus,worker,casent0280007,1.543,2.117,0.887,0.557,0.535,
Camponotus.castaneus,worker,casent0906103,2.125,2.684,0.99,0.616,0.659,3.992
Camponotus.castaneus,worker,casent0103654,1.5425,2.186,0.3185,0.534,0.537,3.283
Camponotus.castaneus,major,casent0103653,2.695,3.076,1.077,0.71,0.647,4.133
Camponotus.castaneus,major,casent0104977,3.532,3.415,1.222,0.763,0.745,4.849
Camponotus.castaneus,major,casent0280006,3.033,3.157,1.103,0.679,0.661,4.233
Camponotus.castaneus,major,casent0172603,1.848,2.203,0.2945,0.505,0.5,3.4595
Camponotus.decipiens,worker,casent0249367,1.316,1.513,0.551,0.392,0.393,2.164
Camponotus.decipiens,worker,casent0905404,1.019,1.208,0.429,0.336,0.345,
Camponotus.decipiens,worker,fmnhins0000045842,0.991,1.157,0.432,0.31,0.323,1.771
Camponotus.decipiens,worker,casent0103667,1.073,1.325,0.2135,0.328,0.331,2.014
Camponotus.decipiens,major,casent0103658,2.055,2.055,0.67,0.462,0.432,2.825
Camponotus.decipiens,major,casent0103666,3.207,3.383,1.19,0.768,0.919,5.305
Camponotus.decipiens,major,casent0249368,2.294,2.398,0.4325,0.496,0.492,2.901
Camponotus.discolor,worker,casent0249369,1.3,1.428,0.511,0.381,0.36,1.839
Camponotus.discolor,major,casent0103668,1.939,1.902,0.671,0.434,0.445,2.86
Camponotus.discolor,major,casent0103670,1.7875,1.867,0.266,0.437,0.439,2.3825
Camponotus.floridanus,worker,casent0103673,1.44,1.776,0.703,0.457,0.507,2.754
Camponotus.floridanus,worker,fmnhins0000062856,1.326,1.74,0.318,0.45,0.435,2.7505
Camponotus.floridanus,major,casent0103672,3.291,3.241,1.206,0.715,0.703,3.662
Camponotus.floridanus,major,casent0104894,3.0765,3.184,0.446,0.617,0.62,3.713
Camponotus.nearcticus,worker,casent0103685,1.0075,1.21,0.1,0.311,0.31,1.718
Camponotus.nearcticus,major,casent0103689,1.5115,1.664,0.224,0.403,0.403,2.5275
Camponotus.novogranadensis,worker,casent0280072,0.978,1.146,0.44,0.314,0.308,1.669
Camponotus.novogranadensis,worker,ecofog-it14-0821-05,1.111,1.271,0.602,0.339,0.27,1.456
