SPECIES
Anochetus mayri
Aphaenogaster ashmeadi
Aphaenogaster carolinensis
Aphaenogaster flemingi
Aphaenogaster floridana
Aphaenogaster fulva
Aphaenogaster lamellidens
Aphaenogaster mariae
Aphaenogaster miamiana
Aphaenogaster picea
Aphaenogaster rudis
Aphaenogaster tennesseensis
Aphaenogaster texana
Aphaenogaster treatae
Aphaenogaster umphreyi
Atta texana
Brachymyrmex depilis
Brachymyrmex minutus
Brachymyrmex obscurior
Brachymyrmex patagonicus
Brachyponera chinensis
Camponotus americanus
Camponotus caryae
Camponotus castaneus
Camponotus chromaiodes
Camponotus decipiens
Camponotus discolor
Camponotus floridanus
Camponotus inaequalis
Camponotus nearcticus
Camponotus novogranadensis
Camponotus pennsylvanicus
Camponotus planatus
Camponotus sansabeanus
Camponotus sexguttatus
Camponotus snellingi
Camponotus socius
Camponotus subbarbatus
Cardiocondyla emeryi
Cardiocondyla mauritanica
Cardiocondyla minutior
Cardiocondyla nuda
Cardiocondyla obscurior
Cardiocondyla venustula
Cardiocondyla wroughtonii
Cephalotes varians
Colobopsis impressa
Colobopsis mississippiensis
Colobopsis obliqua
Colobopsis riehlii
Crematogaster ashmeadi
Crematogaster atkinsoni
Crematogaster cerasi
Crematogaster laeviuscula
Crematogaster lineolata
Crematogaster minutissima
Crematogaster missouriensis
Crematogaster obscurata
Crematogaster parapilosa
Crematogaster pilosa
Crematogaster pinicola
Crematogaster vermiculata
Cryptopone gilva
Cyphomyrmex minutus
Cyphomyrmex rimosus
Discothyrea testacea
Dolichoderus mariae
Dolichoderus plagiatus
Dolichoderus pustulatus
Dolichoderus taschenbergi
Dorymyrmex bossutus
Dorymyrmex bureni
Dorymyrmex elegans
Dorymyrmex flavopectus
Dorymyrmex flavus
Dorymyrmex grandulus
Dorymyrmex insanus
Dorymyrmex reginicula
Dorymyrmex smithi
Eurhopalothrix floridana
Forelius mccooki
Forelius pruinosus
Formica archboldi
Formica argentea
Formica aserva
Formica biophilica
Formica difficilis
Formica dolosa
Formica exsectoides
Formica fusca
Formica incerta
Formica integra
Formica neogagates
Formica neorufibarbiis
Formica obscuriventris
Formica pallidefulva
Formica pergandei
Formica postoculata
Formica querquetulana
Formica rubicunda
Formica scitula
Formica subintegra
Formica subsericea
Hypoponera inexorata
Hypoponera opaciceps
Hypoponera opacior
Hypoponera punctatissima
Lasius alienus
Lasius americanus
Lasius aphidicola
Lasius brevicornis
Lasius claviger
Lasius interjectus
Lasius latipes
Lasius murphyi
Lasius nearcticus
Lasius neoniger
Lasius pallitarsis
Lasius plumopilosus
Lasius pubescens
Lasius speculiventris
Lasius subglaber
Lasius umbratus
Leptogenys elongata
Leptogenys manni
Linepithema humile
Monomorium ebeninum
Monomorium floricola
Monomorium minimum
Monomorium pharaonis
Monomorium subcoecum
Monomorium trageri
Monomorium viridum
Mycetosoritis hartmanni
Myrmecina americana
Myrmecina cooperi
Myrmecina davison
Myrmelachista ramulorum
Myrmica americana
Myrmica fracticornis
Myrmica incompleta
Myrmica latifrons
Myrmica pinetorum
Myrmica punctiventris
Myrmica scabrinodis
Myrmica sculptilis
Myrmica spatulata
Neivamyrmex carolinensis
Neivamyrmex melshaemeri
Neivamyrmex moseri
Neivamyrmex nigrescens
Neivamyrmex opacithorax
Neivamyrmex pauxillus
Neivamyrmex pilosus
Neivamyrmex swainsonii
Neivamyrmex texanus
Nylanderia arenivaga
Nylanderia bourbonica
Nylanderia concinna
Nylanderia faisonensis
Nylanderia flavipes
Nylanderia fulva
Nylanderia guatemalensis
Nylanderia parasitica
Nylanderia parvula
Nylanderia phantasma
Nylanderia pubens
Nylanderia querna
Nylanderia steinheili
Nylanderia terricola
Nylanderia trageri
Nylanderia vividula
Nylanderia wojciki
Ochetellus glaber
Odontomachus brunneus
Odontomachus clarus
Odontomachus haematodus
Odontomachus relictus
Odontomachus ruginodis
Pachycondyla harpax
Paratrechina longicornis
Pheidole adrianoi
Pheidole anastasii
Pheidole bicarinata
Pheidole bilimeki
Pheidole carrolli
Pheidole crassicornis
Pheidole davisi
Pheidole dentata
Pheidole dentigula
Pheidole diversipilosa
Pheidole floridana
Pheidole flavens
Pheidole lamia
Pheidole littoralis
Pheidole megacephala
Pheidole metallescens
Pheidole morrisii
Pheidole navigans
Pheidole obscurithorax
Pheidole pelor
Pheidole pilifera
Pheidole soritis
Pheidole tetra
Pheidole tysoni
Plagiolepis alluaudi
Platythyrea punctata
Pogonomyrmex badius
Pogonomyrmex barbatus
Pogonomyrmex comanche
Polyergus longicornis
Polyergus lucidus
Polyergus mexicanus
Polyergus montivagus
Polyergus oligergus
Polyergus ruber
Ponera exotica
Ponera pennsylvanica
Poneracantha triangularis
Prenolepis imparis
Prionopelta antillana
Proceratium chickasaw
Proceratium crassicorne
Proceratium creek
Proceratium croceum
Proceratium pergandei
Proceratium silaceum
Pseudomyrmex cubaensis
Pseudomyrmex ejectus
Pseudomyrmex elongatus
Pseudomyrmex gracilis
Pseudomyrmex leptosus
Pseudomyrmex pallidus
Pseudomyrmex seminole
Pseudomyrmex simplex
Pseudoponera stigma
Solenopsis abdita
Solenopsis carolinensis
Solenopsis corticalis
Solenopsis geminata
Solenopsis globularia
Solenopsis invicta
Solenopsis molesta
Solenopsis nickersoni
Solenopsis pergandei
Solenopsis phoretica
Solenopsis picta
Solenopsis richteri
Solenopsis salina
Solenopsis subterranea
Solenopsis tennesseensis
Solenopsis texana
Solenopsis tonsa
Solenopsis xyloni
Stenamma brevicorne
Stenamma diecki
Stenamma foveolocephalum
Stenamma impar
Stenamma meridionale
Stenamma schmittii
Stigmatomma pallipes
Stigmatomma trigonignathum
Strumigenys abdita
Strumigenys angulata
Strumigenys apalachicolensis
Strumigenys archboldi
Strumigenys bimarginata
Strumigenys boltoni
Strumigenys brevisetosa
Strumigenys bunki
Strumigenys carolinensis
Strumigenys cloydi
Strumigenys clypeata
Strumigenys creightoni
Strumigenys deyrupi
Strumigenys dietrichi
Strumigenys eggersi
Strumigenys emmae
Strumigenys epinotalis
Strumigenys filirrhina
Strumigenys filitalpa
Strumigenys gundlachi
Strumigenys hexamera
Strumigenys hyalina
Strumigenys inopina
Strumigenys laevinasis
Strumigenys lanuginosa
Strumigenys louisianae
Strumigenys margaritae
Strumigenys membranifera
Strumigenys memorialis
Strumigenys metazytes
Strumigenys missouriensis
Strumigenys ohioensis
Strumigenys ornata
Strumigenys pergandei
Strumigenys pilinasis
Strumigenys pulchella
Strumigenys reflexa
Strumigenys reliquia
Strumigenys rogeri
Strumigenys rohweri
Strumigenys rostrata
Strumigenys silvestrii
Strumigenys subnuda
Strumigenys talpa
Strumigenys wrayi
Syscia augustae
Tapinoma litorale
Tapinoma melanocephalum
Tapinoma sessile
Technomyrmex difficilis
Temnothorax allardycei
Temnothorax ambiguus
Temnothorax americanus
Temnothorax bradleyi
Temnothorax curvispinosus
Temnothorax duloticus
Temnothorax longispinosus
Temnothorax minutissimus
Temnothorax palustris
Temnothorax pergandei
Temnothorax schaumii
Temnothorax smithi
Temnothorax texanus
Temnothorax torrei
Temnothorax tuscaloosae
Tetramorium bicarinatum
Tetramorium caldarium
Tetramorium immigrans
Tetramorium lanuginosum
Tetramorium simillimum
Tetramorium tsushimae
Trachymyrmex jamaicensis
Trachymyrmex septentrionalis
Trachymyrmex turrifex
Trichomyrmex destructor
Wasmannia auropunctata
Xenomyrmex floridanus
