ID,SPECIES,hw,hl,ml,el1,el2,wl,
casent0103598,Aphaenogaster miamiana,1.153,1.399,0.647,0.418,0.408,2.388,
,Aphaenogaster picea,,,,,,,
,Aphaenogaster rudis,,,,,,,
casent0270968,Aphaenogaster texana,1.288,1.578,0.769,0.402,0.403,2.899,
,Aphaenogaster umphreyi,,,,,,,
alt,Brachyponera chinensis,0.868,0.991,0.583,0.254,0.248,1.624,
,Camponotus chromaiodes,,,,,,,
casent0103719,Camponotus inaequalis,1.972,2.327,0.792,0.6,0.627,3.217,
,Camponotus novaeboracensis,2.97,2.78,,0.68,0.68,4.64,antwiki original descrip
,Camponotus novogranadensis,,,,,,,
casent0104865,Camponotus pennsylvanicus ,3.489,3.255,1.361,0.859,0.812,5.733,
,Camponotus socius,,,,,,,
casent0103351,Camponotus subbarbatus,1.752,1.72,0.588,0.471,0.528,3.188,
casent0923032,Camponotus sansabeanus,2.702,2.588,1.243,0.659,0.609,4.585,
casent0102305,Cardiocondyla nuda,0.397,0.518,0.166,,0.12,0.694,
casent0103354,Colobopsis mississippiensis,1.099,1.265,0.391,0.389,,1.896,
casent0103725,Colobopsis obliqua,0.861,1.092,0.342,0.38,0.372,1.85,
,Colobopsis riehlii,,,,,,,
casent0103769,Crematogaster laeviuscula,1.568,1.331,0.62,,0.399,2.323,
,Crematogaster obscurata,,,,,,,
,Crematogaster parapilosa,,,,,,,
,Crematogaster pinicola,,,,,,,
,Dolichoderus mariae,,,,,,,
casent0104780,Dolichoderus plagiatus,0.825,0.93,0.346,0.275,,1.386,
antweb1041581,Dolichoderus taschenbergi,0.851,0.953,0.405,,,1.435,
,Dorymyrmex flavopectus,,,,,,,
,Dorymyrmex flavus,,,,,,,
,Dorymyrmex grandulus,,,,,,,
casent0843205,Dorymyrmex insanus,1.086,1.072,0.711,0.387,0.379,2.206,
casent0103444,Dorymyrmex smithi,1.374,1.206,0.681,0.402,,2.272,
casent0923071,Forelius mccooki,0.716,0.8,0.397,,0.226,1.702,
casent0923041,Formica argentea,1.786,1.771,0.863,0.612,0.605,3.311,
,Formica difficilis,,,,,,,
,Formica exsectoides,,,,,,,
casent0173171,Formica fusca,1.815,1.842,0.866,,0.655,3.662,
casent0172885,Formica incerta,1.729,1.965,0.956,0.587,0.535,3.55,
casent0103371,Formica integra,2.261,2.153,1.095,0.638,0.621,3.869,
casent0923049,Formica neorufibarbis,1.873,1.835,0.787,0.575,,,
casent0639514,Formica obscuriventris,1.854,1.796,0.837,0.52,0.565,3.251,
,Formica rubicunda,,,,,,,
,Formica scitula,,,,,,,
,Formica subintegra,,,,,,,
casent0173158,Lasius alienus,1.412,1.281,0.636,0.383,0.347,2.611,
casent0103997,Lasius aphidicola,1.28,1.187,0.628,0.302,0.298,2.175,
casent0260132,Lasius brevicornis,1.719,1.326,0.745,0.39,0.368,2.453,
casent0103543,Lasius claviger,1.668,1.594,0.848,0.342,0.345,2.592,
,Lasius murphyi,0.781,0.749,0.429,0.253,0.264,1.504,
,Lasius nearcticus,,,,,,,
,Lasius neoniger,,,,,,,
casent0862000,Lasius pallitarsis,1.784,1.544,0.84,0.483,0.466,3.068,
,Lasius plumopilosus,,,,,,,
casent0103495,Lasius pubescens,1.064,1.094,0.587,0.283,0.267,1.693,
casent0103509,Lasius speculiventris,1.655,1.485,0.839,0.383,0.375,2.867,
casent0915707,Lasius subglaber,1.172,1.225,0.639,0.276,0.274,1.983,
,Leptogenys manni,,,,,,,
casent0246063,Monomorium ebeninum,0.599,0.712,0.287,0.191,0.181,1.137,
casent0173272,Monomorium floricola,0.466,0.559,0.239,0.132,0.114,0.874,
casent0104791,Monomorium minimum,0.72,0.784,0.403,0.784,0.167,1.352,
,Myrmecina cooperi,,,,,,,
,Myrmecina davison,,,,,,,
casent0104125,Myrmelachista ramulorum,0.712,0.916,0.326,0.195,0.194,1.341,
,Myrmica americana,,,,,,,
casent0104833,Myrmica fracticornis,1.175,1.314,0.677,0.331,0.301,1.85,
casent0217892,Myrmica incompleta,2.832,2.929,1.53,0.619,0.311,2.164,
casent0173008,Myrmica latifrons,1.206,1.329,0.688,0.315,0.303,2.045,
,Myrmica pinetorum,,,,,,,
,Myrmica spatulata,,,,,,,
,Neivamyrmex pilosus,,,,,,,
,Nylanderia querna,0.685,0.71,,0.23,0.23,1.19,antwiki original descrip
,Nylanderia trageri,0.695,0.75,,0.24,0.24,1.22,
casent0246584,Ochetellus glaber,0.794,0.875,0.353,0.253,0.287,1.542,
,Odontomachus relictus,1.77,2.15,1.2,0.27,0.27,2.75,antwiki original descrip
,Pheidole anastasii,,,,,,,
jtlc000014087,Pheidole bilimeki,0.922,0.875,0.452,0.212,0.267,1.514,
,Pheidole crassicornis,1.61,1.39,,0.37,0.37,2.54,From missippi museum specimens
casent0103386,Pheidole davisi,1.05,0.855,0.499,0.232,0.247,1.524,
,Pheidole diversipilosa,,,,,,,
casent0178021,Pheidole flavens,0.799,0.727,0.379,0.207,0.243,1.203,
,Pheidole lamia,,,,,,,
,Pheidole littoralis,,,,,,,
casent0104406,Pheidole megacephala,1.356,1.215,0.624,0.332,0.394,2.206,
casent0104413,Pheidole navigans,0.933,0.85,0.424,0.216,0.21,1.245,
,Pheidole pelor,,,,,,,
casent0172960,Pheidole pilifera,1.126,0.989,0.65,0.26,0.326,1.891,
,Pheidole tetra,,,,,,,
,Polyergus longicornis,,,,,,,
casent0281038,Polyergus lucidus,1.872,1.875,0.948,0.54,0.561,3.183,
,Polyergus ruber,,,,,,,
casent0915920,Poneracantha triangularis,0.996,1.015,0.682,0.275,0.266,1.868,
,Proceratium chickasaw,,,,,,,
,Proceratium creek,0.96,1.185,,0.045,0.045,1.56,antwiki original descrip
casent0902896,Pseudomyrmex leptosus,0.653,0.839,0.26,0.385,0.414,1.369,
casent0172440,Pseudoponera stigma,2.008,1.797,1.057,0.402,0.391,3.454,
casent0914333,Solenopsis abdita,0.474,0.563,0.261,0.174,0.168,1.065,
casent0724864,Solenopsis molesta,0.533,0.678,0.285,0.18,0.159,1.17,
,Solenopsis nickersoni,0.63,0.625,,0.185,0.185,1.19,antwiki original descrip
,Solenopsis richteri,1.45,1.25,,0.4,0.4,,antwiki original descrip
,Solenopsis tennesseensis,,,,,,,
,Solenopsis texana,0.781,0.743,,0.24,0.24,1.12,antwiki original descrip
,Solenopsis tonsa,0.765,0.72,,0.23,0.23,1.45,antwiki original descrip
casent0104514,Solenopsis xyloni,1.168,1.157,0.586,0.308,0.409,2.397,
casent0919620,Stenamma brevicorne,0.741,0.837,0.428,0.172,0.175,1.201,
casent0248398,Stenamma diecki,0.736,0.889,0.427,0.215,0.218,1.282,
,Stenamma foveolocephalum,,,,,,,
,Stenamma meridionale,,,,,,,
,Stenamma schmittii,,,,,,,
,Strumigenys abdita,,,,,,,
,Strumigenys bimarginata,,,,,,,
,Strumigenys cloydi,,,,,,,
,Strumigenys filirrhina,,,,,,,
casent0104924,Strumigenys hyalina,0.44,0.574,0.123,,0.097,0.667,
casent0641112,Strumigenys lanuginosa,0.482,0.507,0.35,0.119,,,
,Strumigenys memorialis,,,,,,,
,Strumigenys metazytes,,,,,,,
,Strumigenys missouriensis,,,,,,,
