ID,SPECIES,hw,hl,ml,el1,el2,wl
antweb1038008,Aphaenogaster picea,0.954,1.172,0.507,0.226,0.279,1.794
CASENT0104844,Aphaenogaster picea,1.028,1.247,0.567,0.224,,
CASENT0914477,Aphaenogaster picea,0.976,1.231,0.656,0.222,,1.767
FMNHINS0000049661,Aphaenogaster picea,1,1.275,0.597,0.217,0.233,1.747
CASENT0102827,Aphaenogaster texana,0.998,1.38,0.603,0.263,0.255,1.94
CASENT0105547,Aphaenogaster texana,0.774,1.094,0.552,0.218,0.18,1.495
CASENT0270854,Aphaenogaster texana,0.793,1.128,0.518,0.213,0.202,1.68
CASENT0914471,Aphaenogaster texana,0.954,1.292,0.625,0.28,0.255,1.862
FMNHINS0000062927,Aphaenogaster texana,0.967,1.326,0.606,0.252,0.282,2.054
CASENT0104738,Brachyponera chinensis,0.812,0.917,0.502,0.137,0.152,1.327
CASENT0246023,Brachyponera chinensis,0.893,1.043,0.583,0.165,0.161,1.621
CASENT0649763,Brachyponera chinensis,0.941,1.054,0.577,0.17,0.194,1.694
CASENT0902494,Brachyponera chinensis,0.935,1.022,0.619,0.177,0.166,1.655
CASENT0903937,Brachyponera chinensis,1.142,1.263,0.717,0.233,0.203,1.725
CASENT0914511,Brachyponera chinensis,1.926,2.106,1.214,0.37,,3.269
CASENT0103716,Camponotus inaequalis,2.187,2.531,0.917,0.665,0.678,3.431
CASENT0103717,Camponotus inaequalis,1.137,1.802,0.673,0.517,0.502,2.734
CASENT0103721,Camponotus inaequalis,1.996,2.364,0.777,0.591,0.486,2.757
CASENT0280041,Camponotus inaequalis,1.886,2.333,0.768,0.565,0.618,3.297
CASENT0280042,Camponotus inaequalis,0.961,1.572,0.506,0.454,0.467,2.369
CASENT0905263,Camponotus inaequalis,2.07,2.405,0.917,0.6,0.511,3.175
ANTWEB1041671,Camponotus novaeboracensis,2.334,2.308,0.931,0.518,0.524,3.128
CASENT0103348,Camponotus novaeboracensis,2.828,2.498,1.039,0.6,0.554,3.427
CASENT0103349,Camponotus novaeboracensis,2.54,2.356,0.98,0.572,,3.453
CASENT0179612,Camponotus novaeboracensis,1.564,1.678,0.596,0.412,0.418,2.612
CASENT0179847,Camponotus novaeboracensis,1.801,1.89,0.723,0.426,0.416,2.639
CASENT0280012,Camponotus novaeboracensis,2.657,2.406,0.903,0.526,0.514,3.091
CASENT0280013,Camponotus novaeboracensis,1.328,1.462,0.579,0.406,0.357,2.006
CASENT0005350,Camponotus sansabeanus,3.377,2.91,1.235,0.625,,3.526
CASENT0102780,Camponotus sansabeanus,1.126,1.406,0.616,0.419,0.403,2.102
CASENT0280033,Camponotus sansabeanus,3.111,2.958,1.289,0.606,0.598,3.504
CASENT0280034,Camponotus sansabeanus,1.674,1.882,0.752,0.485,0.518,2.594
CASENT0840931,Camponotus sansabeanus,2.068,2.486,0.961,0.555,0.545,4.027
CASENT0882211,Camponotus sansabeanus,3.183,2.973,1.241,0.65,0.614,3.674
CASENT0103352,Camponotus subbarbatus,1.89,1.853,0.642,0.421,0.45,2.361
CASENT0103353,Camponotus subbarbatus,1.874,1.856,0.623,0.408,0.447,2.833
CASENT0105679,Camponotus subbarbatus,1.019,1.173,0.425,0.33,0.309,1.673
CASENT0905405,Camponotus subbarbatus,1.481,1.57,0.531,0.391,0.36,2.136
CASENT0178361,Cardiocondyla nuda,0.375,0.486,0.171,0.106,0.12,0.615
CASENT0181806,Cardiocondyla nuda,0.405,0.533,0.234,0.128,0.121,0.62
CASENT0919732,Cardiocondyla nuda,0.303,0.391,0.189,0.091,0.08,0.502
FMNHINS0000051550,Cardiocondyla nuda,0.435,0.538,0.221,0.124,,0.676
CASENT0103236,Colobopsis mississippiensis,0.718,0.821,0.254,0.224,0.237,1.176
CASENT0103355,Colobopsis mississippiensis,0.658,0.801,0.24,0.219,0.188,0.949
CASENT0103356,Colobopsis mississippiensis,1.032,1.225,0.362,0.281,0.265,1.356
CASENT0103357,Colobopsis mississippiensis,1.197,1.363,0.409,0.331,0.3,1.551
CASENT0105676,Colobopsis mississippiensis,0.795,0.92,0.285,,,1.149
FMNHINS0000045811,Colobopsis mississippiensis,1.19,1.299,0.444,0.341,0.32,1.55
CASENT0103722,Colobopsis obliqua,1.015,1.162,0.37,0.293,0.271,1.304
CASENT0103723,Colobopsis obliqua,0.754,0.855,0.269,0.243,0.209,1.071
CASENT0105585,Colobopsis obliqua,1.053,1.22,0.463,0.327,0.264,1.241
CASENT0005669,Crematogaster laeviuscula,0.994,0.928,0.437,0.227,0.239,1.139
CASENT0103770,Crematogaster laeviuscula,0.976,0.926,0.452,0.215,0.204,1.019
CASENT0104828,Crematogaster laeviuscula,1.229,1.097,0.491,0.246,0.214,1.423
CASENT0217850,Crematogaster laeviuscula,0.9,0.861,,,0.218,1.022
CASENT0922730,Crematogaster laeviuscula,0.899,0.837,0.411,0.193,0.221,1.074
FMNHINS0000088664,Crematogaster laeviuscula,0.901,0.836,0.435,0.211,0.197,0.973
CASENT0863386,Crematogaster parapilosa,0.942,0.864,0.456,0.22,0.216,1.083
ANTWEB1041579,Dolichoderus plagiatus,0.81,0.859,0.393,0.249,0.243,1.224
CASENT0104779,Dolichoderus plagiatus,0.786,0.897,0.35,0.23,0.214,1.112
CASENT0915561,Dolichoderus plagiatus,0.764,0.882,0.351,0.232,0.261,1.351
ANTWEB1041580,Dolichoderus taschenbergi,0.823,0.902,0.397,0.232,0.237,1.245
CASENT0005172,Dolichoderus taschenbergi,0.798,0.884,0.365,0.238,0.227,1.173
CASENT0249580,Dolichoderus taschenbergi,0.81,0.89,0.384,0.254,0.213,1.139
CASENT0915568,Dolichoderus taschenbergi,0.835,0.916,0.421,0.232,0.211,1.359
FMNHINS0000045083,Dolichoderus taschenbergi,0.918,0.958,0.439,0.252,0.257,1.36
CASENT0005321,Dorymyrmex flavus,0.84,0.928,,0.264,0.253,1.21
CASENT0104736,Dorymyrmex flavus,0.775,0.86,0.418,0.262,0.252,1.141
CASENT0249674,Dorymyrmex flavus,0.624,0.67,0.392,0.239,0.247,0.971
CASENT0902983,Dorymyrmex flavus,0.791,0.87,0.434,0.275,0.266,1.14
FMNHINS0000045102,Dorymyrmex flavus,0.973,1.059,0.485,0.264,0.246,1.414
CASENT0005319,Dorymyrmex insanus,0.8,0.871,0.409,0.267,0.094,0.458
CASENT0102753,Dorymyrmex insanus,0.735,0.836,0.425,0.257,0.254,1.062
CASENT0179520,Dorymyrmex insanus,0.718,0.788,0.391,0.248,0.205,1.094
