"","SPECIES","poly_id"
"1","Aphaenogaster ashmeadi",0
"2","Aphaenogaster carolinensis",0
"3","Aphaenogaster flemingi",0
"4","Aphaenogaster floridana",0
"5","Aphaenogaster fulva",0
"6","Aphaenogaster lamellidens",0
"7","Aphaenogaster miamiana",0
"8","Aphaenogaster picea",0
"9","Aphaenogaster rudis",0
"10","Aphaenogaster tennesseensis",0
"11","Aphaenogaster treatae",0
"12","Aphaenogaster umphreyi",0
"13","Brachymyrmex depilis",0
"14","Brachymyrmex patagonicus",0
"15","Brachyponera chinensis",0
"16","Camponotus americanus",1
"17","Camponotus caryae",1
"18","Camponotus castaneus",1
"19","Camponotus chromaiodes",1
"20","Camponotus decipiens",1
"21","Camponotus discolor",1
"22","Camponotus floridanus",1
"23","Camponotus nearcticus",1
"24","Camponotus pennsylvanicus",1
"25","Camponotus snellingi",1
"26","Camponotus socius",1
"27","Cardiocondyla minutior",0
"28","Cardiocondyla venustula",0
"29","Cardiocondyla wroughtonii",0
"30","Colobopsis impressa",1
"31","Colobopsis mississippiensis",1
"32","Colobopsis obliqua",1
"33","Crematogaster ashmeadi",0
"34","Crematogaster cerasi",0
"35","Crematogaster laeviuscula",0
"36","Crematogaster lineolata",0
"37","Crematogaster minutissima",0
"38","Crematogaster missouriensis",0
"39","Crematogaster pilosa",0
"40","Crematogaster pinicola",0
"41","Crematogaster vermiculata",0
"42","Cryptopone gilva",0
"43","Cyphomyrmex rimosus",0
"44","Discothyrea testacea",0
"45","Dolichoderus mariae",0
"46","Dolichoderus plagiatus",0
"47","Dolichoderus taschenbergi",0
"48","Dorymyrmex bureni",0
"49","Dorymyrmex flavus",0
"50","Dorymyrmex grandulus",0
"51","Dorymyrmex smithi",0
"52","Forelius pruinosus",0
"53","Formica archboldi",0
"54","Formica biophilica",1
"55","Formica dolosa",0
"56","Formica integra",0
"57","Formica pallidefulva",0
"58","Formica rubicunda",0
"59","Formica subintegra",0
"60","Formica subsericea",1
"61","Gnamptogenys triangularis",0
"62","Hypoponera inexorata",0
"63","Hypoponera opaciceps",0
"64","Hypoponera opacior",0
"65","Hypoponera punctatissima",0
"66","Lasius americanus",0
"67","Lasius aphidicola",0
"68","Lasius brevicornis",0
"69","Lasius claviger",0
"70","Lasius interjectus",0
"71","Lasius neoniger",0
"72","Linepithema humile",0
"73","Monomorium floricola",0
"74","Monomorium minimum",0
"75","Monomorium pharaonis",0
"76","Monomorium viridum",0
"77","Myrmecina americana",0
"78","Myrmecina cooperi",0
"79","Myrmica americana",0
"80","Myrmica pinetorum",0
"81","Myrmica punctiventris",0
"82","Neivamyrmex carolinensis",1
"83","Neivamyrmex nigrescens",1
"84","Neivamyrmex opacithorax",1
"85","Nylanderia arenivaga",0
"86","Nylanderia bourbonica",0
"87","Nylanderia faisonensis",0
"88","Nylanderia fulva",0
"89","Nylanderia parvula",0
"90","Nylanderia phantasma",0
"91","Nylanderia querna",0
"92","Nylanderia vividula",0
"93","Nylanderia wojciki",0
"94","Odontomachus brunneus",0
"95","Odontomachus haematodus",0
"96","Paratrechina longicornis",0
"97","Pheidole adrianoi",1
"98","Pheidole bicarinata",1
"99","Pheidole bilimeki",1
"100","Pheidole crassicornis",1
"101","Pheidole dentata",1
"102","Pheidole dentigula",1
"103","Pheidole lamia",1
"104","Pheidole metallescens",1
"105","Pheidole morrisii",1
"106","Pheidole navigans",1
"107","Pheidole obscurithorax",1
"108","Pheidole pilifera",1
"109","Pheidole tetra",1
"110","Pheidole tysoni",1
"111","Pogonomyrmex badius",1
"112","Ponera exotica",0
"113","Ponera pennsylvanica",0
"114","Prenolepis imparis",0
"115","Proceratium chickasaw",0
"116","Proceratium crassicorne",0
"117","Proceratium croceum",0
"118","Proceratium pergandei",0
"119","Proceratium silaceum",0
"120","Pseudomyrmex ejectus",0
"121","Pseudomyrmex gracilis",0
"122","Pseudomyrmex pallidus",0
"123","Pseudomyrmex seminole",0
"124","Solenopsis carolinensis",0
"125","Solenopsis geminata",1
"126","Solenopsis globularia",1
"127","Solenopsis invicta",1
"128","Solenopsis molesta",0
"129","Solenopsis pergandei",0
"130","Solenopsis picta",0
"131","Solenopsis richteri",1
"132","Solenopsis tennesseensis",0
"133","Solenopsis texana",0
"134","Solenopsis tonsa",0
"135","Solenopsis xyloni",1
"136","Stenamma diecki",0
"137","Stenamma foveolocephalum",0
"138","Stenamma impar",0
"139","Stenamma schmittii",0
"140","Stigmatomma pallipes",0
"141","Strumigenys angulata",0
"142","Strumigenys archboldi",0
"143","Strumigenys brevisetosa",0
"144","Strumigenys bunki",0
"145","Strumigenys clypeata",0
"146","Strumigenys creightoni",0
"147","Strumigenys dietrichi",0
"148","Strumigenys eggersi",0
"149","Strumigenys epinotalis",0
"150","Strumigenys hexamera",0
"151","Strumigenys hyalina",0
"152","Strumigenys laevinasis",0
"153","Strumigenys louisianae",0
"154","Strumigenys margaritae",0
"155","Strumigenys membranifera",0
"156","Strumigenys metazytes",0
"157","Strumigenys ornata",0
"158","Strumigenys pergandei",0
"159","Strumigenys pilinasis",0
"160","Strumigenys pulchella",0
"161","Strumigenys reflexa",0
"162","Strumigenys rostrata",0
"163","Strumigenys silvestrii",0
"164","Strumigenys talpa",0
"165","Tapinoma melanocephalum",0
"166","Tapinoma sessile",0
"167","Temnothorax americanus",0
"168","Temnothorax bradleyi",0
"169","Temnothorax curvispinosus",0
"170","Temnothorax longispinosus",0
"171","Temnothorax pergandei",0
"172","Temnothorax schaumii",0
"173","Temnothorax smithi",0
"174","Temnothorax texanus",0
"175","Temnothorax tuscaloosae",0
"176","Tetramorium bicarinatum",0
"177","Tetramorium immigrans",0
"178","Tetramorium lanuginosum",0
"179","Trachymyrmex septentrionalis",0
"180","Trichomyrmex destructor",1
