SPECIES,HW,HL,ML,EL,WL
Anochetus mayri,0.891,0.857,0.507,0.15,1.266
Aphaenogaster ashmeadi,1.248,1.654,0.734,0.4545,2.814
Aphaenogaster carolinensis,1.138,1.371,0.627,0.3585,2.083
Aphaenogaster flemingi,1.152,1.388,0.712,0.415,2.655
Aphaenogaster floridana,1.31,1.727,0.833,0.42,3.01
Aphaenogaster fulva,1.15,1.303,0.637,0.3645,2.247
Aphaenogaster lamellidens,1.227,1.565,0.683,0.3685,2.606
Aphaenogaster mariae,0.736,0.928,0.473,0.232,1.561
Aphaenogaster miamiana,1.153,1.399,0.647,0.413,2.388
Aphaenogaster carolinensis,1.154,1.417,0.64,0.4075,2.399
Aphaenogaster picea,1.227,1.342,0.708,0.3735,2.37
Aphaenogaster rudis,NA,NA,NA,NA,NA
Aphaenogaster tennesseensis,1.023,1.201,0.523,0.302,1.849
Aphaenogaster texana,1.288,1.578,0.769,0.4025,2.899
Aphaenogaster treatae,1.369,1.599,0.808,0.3935,2.536
Aphaenogaster umphreyi,NA,NA,NA,NA,NA
Brachymyrmex depilis,0.487,0.48,0.24,0.1735,0.967
Brachymyrmex minutus,0.505,0.562,0.293,NA,1.1
Brachymyrmex obscurior,NA,NA,NA,NA,1.462
Brachymyrmex patagonicus,0.681,0.673,0.367,0.2385,1.272
Brachyponera chinensis,0.868,0.991,0.583,0.251,1.624
Camponotus americanus,3.47,3.41,NA,NA,5.48
Camponotus caryae,NA,NA,NA,NA,2.631
Camponotus castaneus,3.184,3.123,1.187,0.816,6.231
Camponotus chromaiodes,NA,NA,NA,NA,NA
Camponotus decipiens,3.694,3.903,1.32,NA,3.59
Camponotus discolor,1.978,2.034,0.734,0.532,3.462
Camponotus floridanus,2.822,3,1.051,0.7925,4.909
Camponotus inaequalis,1.899,2.43,0.849,0.762,4.024
Camponotus inaequalis,1.972,2.327,0.792,0.6135,3.217
Camponotus nearcticus,1.804,1.973,0.717,0.5315,3.318
Camponotus novaeboracensis,2.97,2.78,NA,0.68,4.64
Camponotus novogranadensis,NA,NA,NA,NA,NA
Camponotus pennsylvanicus,3.438,3.234,1.365,0.8235,5.598
Camponotus pennsylvanicus,3.489,3.255,1.361,0.8355,5.733
Camponotus planatus,1.55,1.561,0.6,0.462,2.868
Camponotus sansabeanus,2.702,2.588,1.243,0.634,4.585
Camponotus sexguttatus,1.426,1.556,0.565,0.5325,2.605
Camponotus snellingi,1.869,2.01,0.727,0.5005,3.404
Camponotus socius,NA,NA,NA,NA,NA
Camponotus subbarbatus,1.752,1.72,0.588,0.4995,3.188
Cardiocondyla emeryi,0.412,0.497,0.231,0.1355,0.673
Cardiocondyla mauritanica,0.478,0.555,0.284,NA,0.739
Cardiocondyla minutior,0.351,0.454,0.224,NA,0.658
Cardiocondyla nuda,0.397,0.518,0.166,NA,0.694
Cardiocondyla obscurior,0.372,0.451,0.178,0.1105,0.554
Cardiocondyla venustula,0.456,0.598,0.241,NA,0.81
Cardiocondyla wroughtonii,0.378,0.5,0.21,0.1285,0.638
Cephalotes varians,1.605,1.955,0.25,NA,2.266
Colobopsis impressa,1.109,1.218,0.374,0.3745,2.412
Colobopsis mississippiensis,1.099,1.265,0.391,NA,1.896
Colobopsis obliqua,0.87,1.106,0.349,0.3745,1.916
Colobopsis riehlii,NA,NA,NA,NA,NA
Crematogaster ashmeadi,1.311,1.222,0.587,0.4205,2.518
Crematogaster atkinsoni,1.533,1.317,0.618,NA,2.35
Crematogaster cerasi,1.407,1.274,0.589,0.3705,2.56
Crematogaster laeviuscula,1.568,1.331,0.62,NA,2.323
Crematogaster lineolata,1.491,1.417,0.6,0.3945,2.377
Crematogaster minutissima,0.787,0.738,0.413,0.265,1.406
Crematogaster missouriensis,0.99,0.934,0.529,0.3235,1.753
Crematogaster obscurata,NA,NA,NA,NA,NA
Crematogaster parapilosa,NA,NA,NA,NA,NA
Crematogaster pilosa,1.404,1.211,0.59,NA,2.319
Crematogaster pinicola,NA,NA,NA,NA,NA
Crematogaster vermiculata,1.269,1.123,0.543,0.3385,2.09
Cryptopone gilva,0.848,0.914,0.453,0.2225,1.542
Cyphomyrmex minutus,0.496,0.531,0.243,0.2195,0.99
Cyphomyrmex rimosus,0.722,0.728,0.319,NA,1.066
Discothyrea testacea,0.42,0.496,0.096,0.1325,0.592
Dolichoderus mariae,NA,NA,NA,NA,NA
Dolichoderus plagiatus,0.825,0.93,0.346,NA,1.386
Dolichoderus pustulatus,0.759,0.843,0.348,0.254,1.274
Dolichoderus taschenbergi,0.851,0.953,0.405,NA,1.435
Dorymyrmex bossutus,1.029,1,0.542,0.3515,2.142
Dorymyrmex bureni,1.042,1.021,0.608,NA,2.289
Dorymyrmex elegans,1.221,1.229,0.678,0.3915,2.523
Dorymyrmex flavopectus,NA,NA,NA,NA,NA
Dorymyrmex flavus,NA,NA,NA,NA,NA
Dorymyrmex grandulus,NA,NA,NA,NA,NA
Dorymyrmex insanus,1.086,1.072,0.711,0.383,2.206
Dorymyrmex reginicula,0.977,0.961,0.549,0.318,1.665
Dorymyrmex smithi,1.374,1.206,0.681,NA,2.272
Eurhopalothrix floridana,0.684,0.638,0.281,0.133,0.78
Forelius mccooki,0.716,0.8,0.397,NA,1.702
Forelius pruinosus,0.745,0.789,0.39,0.262,1.679
Formica archboldi,1.797,1.993,0.937,0.6305,3.377
Formica argentea,1.786,1.771,0.863,0.6085,3.311
Formica biophilica,1.825,2.054,0.994,0.6625,3.536
Formica difficilis,NA,NA,NA,NA,NA
Formica dolosa,1.871,2.059,0.993,0.598,3.826
Formica exsectoides,NA,NA,NA,NA,NA
Formica fusca,1.815,1.842,0.866,NA,3.662
Formica incerta,1.729,1.965,0.956,0.561,3.55
Formica integra,2.261,2.153,1.095,0.6295,3.869
Formica neorufibarbis,1.873,1.835,0.787,NA,NA
Formica obscuriventris,1.854,1.796,0.837,0.5425,3.251
