"","SPECIES","max_size","median_size","sample"
"1","Anochetus mayri",12,12,1
"2","Aphaenogaster ashmeadi",423,254,4
"3","Aphaenogaster carolinensis",42,29,2
"4","Aphaenogaster flemingi",300,300,1
"5","Aphaenogaster floridana",183,116.5,2
"6","Aphaenogaster fulva",800,540.5,2
"7","Aphaenogaster lamellidens",600,450,2
"8","Aphaenogaster mariae",300,300,1
"9","Aphaenogaster miamiana",800,800,1
"10","Aphaenogaster picea",450,450,1
"11","Aphaenogaster rudis",738,416.5,4
"12","Aphaenogaster tennesseensis",600,600,1
"13","Aphaenogaster treatae",682,300,3
"14","Brachymyrmex depilis",200,111,2
"15","Brachymyrmex minutus",125,125,1
"16","Brachymyrmex obscurior",200,200,1
"17","Brachymyrmex patagonicus",300,300,1
"18","Brachyponera chinensis",242,242,1
"19","Camponotus americanus",3560,3560,1
"20","Camponotus castaneus",350,350,1
"21","Camponotus chromaiodes",3560,3560,1
"22","Camponotus decipiens",250,250,1
"23","Camponotus discolor",70,70,1
"24","Camponotus floridanus",10000,10000,1
"25","Camponotus nearcticus",70,69.5,2
"26","Camponotus noveboracensis",3000,3000,1
"27","Camponotus pennsylvanicus",2222,2222,1
"28","Camponotus sexguttatus",300,300,1
"29","Camponotus snellingi",1550,1550,1
"30","Camponotus socius",590,470,2
"31","Camponotus subbarbatus",3560,3560,1
"32","Cardiocondyla emeryi",50,50,1
"33","Cardiocondyla mauritanica",250,250,1
"34","Cardiocondyla minutior",50,50,1
"35","Cardiocondyla nuda",50,50,1
"36","Cardiocondyla obscurior",250,250,1
"37","Cardiocondyla venustula",150,150,1
"38","Cardiocondyla wroughtonii",50,50,1
"39","Cephalotes varians",1000,1000,1
"40","Colobopsis impressa",180,180,1
"41","Colobopsis mississippiensis",66,66,1
"42","Crematogaster ashmeadi",10000,3260,3
"43","Crematogaster atkinsoni",500,500,1
"44","Crematogaster laeviuscula",308,308,1
"45","Crematogaster lineolata",200,178,3
"46","Crematogaster minutissima",313,208,3
"47","Crematogaster pilosa",807,807,1
"48","Crematogaster pinicola",40000,40000,1
"49","Crematogaster vermiculata",1085,592.5,2
"50","Cryptopone gilva",100,100,1
"51","Cyphomyrmex minutus",150,150,1
"52","Cyphomyrmex rimosus",150,125,2
"53","Discothyrea testacea",15,15,1
"54","Dolichoderus mariae",1265000,1265000,1
"55","Dolichoderus plagiatus",779,779,1
"56","Dolichoderus pustulatus",1299,1299,1
"57","Dorymyrmex bossutus",1000,1000,1
"58","Dorymyrmex bureni",1000,1000,1
"59","Dorymyrmex elegans",1000,1000,1
"60","Dorymyrmex flavus",1000,1000,1
"61","Dorymyrmex grandulus",1000,1000,1
"62","Dorymyrmex insanus",500,500,1
"63","Dorymyrmex reginicula",1000,1000,1
"64","Eurhopalothrix floridana",100,100,1
"65","Forelius mccooki",5000,5000,1
"66","Forelius pruinosus",10000,10000,1
"67","Formica archboldi",1210,500,3
"68","Formica dolosa",630,630,1
"69","Formica exsectoides",1600,1600,1
"70","Formica fusca",500,500,1
"71","Formica incerta",7049,7049,1
"72","Formica neorufibarbiis",500,500,1
"73","Formica pallidefulva",424,424,1
"74","Formica subintegra",300,300,1
"75","Formica subsericea",8916,8916,1
