SPECIES,CASENT,HW,HL,ML,EL,WL
Anochetus mayri,casent0003324,0.737,0.722,0.427,0.1025,1.145
Anochetus mayri,casent0767584,0.84,0.822,0.497,NA,1.215
Anochetus mayri,casent0103554,0.772,0.747,0.451,0.0965,1.132
Anochetus mayri,casent0010834,0.748,0.718,0.4545,0.0835,1.1115
Aphaenogaster ashmeadi,casent0103563,1.013,1.471,0.616,0.2845,2.191
Aphaenogaster ashmeadi,casent0281182,0.976,1.328,0.574,NA,2.033
Aphaenogaster ashmeadi,casent0103560,0.997,1.335,0.2945,0.2425,2.058
Aphaenogaster carolinensis,fmnhins0000049642,0.969,1.269,0.584,0.2615,1.929
Aphaenogaster carolinensis,casent0906104,0.775,1.048,0.479,0.2225,1.594
Aphaenogaster carolinensis,casent0103574,0.776,1.084,0.2285,0.2255,1.494
Aphaenogaster flemingi,casent0103579,0.895,1.24,0.302,0.2305,1.9145
Aphaenogaster floridana,casent0103583,1.02,1.433,0.318,0.293,2.0195
Aphaenogaster fulva,casent0103585,1.087,1.278,0.2425,0.2405,1.6705
Aphaenogaster fulva,casent0104859,0.959,1.206,0.566,0.2195,1.647
Aphaenogaster fulva,casent0105670,0.976,1.238,0.614,NA,1.796
Aphaenogaster fulva,casent0904167,0.828,1.075,0.507,0.197,1.405
Aphaenogaster fulva,focol1231,1.108,1.465,0.695,0.2845,2.175
Aphaenogaster lamellidens,casent0103589,1.1615,1.454,0.321,0.256,2.1705
Aphaenogaster lamellidens,casent0105570,0.938,1.263,0.539,0.1995,1.186
Aphaenogaster lamellidens,casent0900413,0.897,1.109,0.598,0.2225,1.748
Aphaenogaster lamellidens,casent0914470,1.113,1.465,0.633,NA,2.266
Aphaenogaster lamellidens,casent0919793,1.059,1.469,0.652,NA,2.204
Aphaenogaster mariae,casent0105571,1.203,1.489,0.733,0.2755,1.604
Aphaenogaster mariae,casent0907688,0.97,1.133,0.616,0.26,1.887
Aphaenogaster mariae,casent0103599,0.831,1.095,0.2355,0.1875,1.574
Aphaenogaster miamiana,casent0103595,0.979,1.3,0.591,0.279,1.854
Aphaenogaster miamiana,casent0105579,2.037,2.709,1.16,0.447,1.993
Aphaenogaster miamiana,casent0904168,1.086,1.309,0.634,0.2425,1.718
Aphaenogaster miamiana,casent0914472,1.206,1.573,0.667,0.3055,2.322
Aphaenogaster picea,antweb1038008,0.954,1.172,0.507,0.2525,1.794
Aphaenogaster picea,CASENT0104844,1.028,1.247,0.567,NA,NA
Aphaenogaster picea,CASENT0914477,0.976,1.231,0.656,NA,1.767
Aphaenogaster picea,FMNHINS0000049661,1,1.275,0.597,0.225,1.747
Aphaenogaster rudis,casent0914476,0.839,1.115,0.521,0.221,1.63
Aphaenogaster rudis,fmnhins0000062941,0.876,1.113,0.534,0.241,1.758
Aphaenogaster rudis,casent0104843,0.955,1.208,0.2395,0.2265,1.671
Aphaenogaster tennesseensis,casent0103600,1.102,1.283,0.2795,0.2275,1.7675
Aphaenogaster tennesseensis,casent0105672,1.154,1.28,0.68,0.2505,1.856
Aphaenogaster tennesseensis,casent0916081,1.061,1.226,0.593,0.221,1.756
Aphaenogaster tennesseensis,fmnhins0000062930,1.121,1.276,0.652,0.248,1.89
Aphaenogaster texana,CASENT0102827,0.998,1.38,0.603,0.259,1.94
Aphaenogaster texana,CASENT0105547,0.774,1.094,0.552,0.199,1.495
Aphaenogaster texana,CASENT0270854,0.793,1.128,0.518,0.2075,1.68
Aphaenogaster texana,CASENT0914471,0.954,1.292,0.625,0.2675,1.862
Aphaenogaster texana,FMNHINS0000062927,0.967,1.326,0.606,0.267,2.054
Aphaenogaster treatae,casent0914485,1.113,1.494,0.36,0.2765,2.231
Aphaenogaster treatae,casent0103609,0.933,1.258,0.557,NA,1.779
Aphaenogaster treatae,casent0900414,1.055,1.228,0.661,0.2405,1.799
Aphaenogaster treatae,casent0907701,1.044,1.378,0.636,0.2445,2.018
Aphaenogaster treatae,casent0923377,0.876,1.159,0.547,0.2205,1.778
Aphaenogaster umphreyi,casent0103612,0.9855,1.171,0.291,0.165,1.7005
Aphaenogaster umphreyi,casent0900416,0.787,0.96,0.524,NA,1.478
Brachymyrmex depilis,MCZ-ENT00672722,0.374,0.424,0.062,0.0825,0.406
Brachymyrmex depilis,casent0005338,0.402,0.476,0.183,0.0955,NA
Brachymyrmex depilis,casent0106038,0.358,0.409,0.191,0.0795,0.372
Brachymyrmex depilis,casent0179481,0.424,0.461,0.21,0.0915,0.454
Brachymyrmex depilis,fmnhins0000062867,0.344,0.386,0.171,0.0765,0.364
Brachymyrmex minutus,casent0249946,0.291,0.335,0.147,0.076,0.33
Brachymyrmex minutus,casent0767579,0.299,0.344,0.139,0.0785,0.337
Brachymyrmex minutus,casent0903121,0.305,0.375,NA,0.08,0.367
Brachymyrmex minutus,fmnhins0000088667,0.399,0.441,0.168,0.0975,0.392
Brachymyrmex minutus,casent0602037,0.3155,0.367,0.0375,0.088,0.38
Brachymyrmex obscurior,casent0219802,0.412,0.443,0.0675,0.1015,0.44
Brachymyrmex obscurior,casent0104889,0.509,0.527,NA,0.104,0.476
Brachymyrmex obscurior,casent0219804,0.873,0.966,0.403,0.2235,0.974
Brachymyrmex obscurior,casent0249949,0.363,0.397,0.166,0.0825,0.378
Brachymyrmex obscurior,casent0903120,0.422,0.461,0.21,NA,0.462
Brachymyrmex obscurior,usnment00757132,0.365,0.408,0.196,0.095,0.32
Brachymyrmex patagonicus,casent0173480,0.487,0.541,0.257,0.1555,0.546
Brachymyrmex patagonicus,casent0249945,0.403,0.435,0.218,0.12,0.475
Brachymyrmex patagonicus,casent0915732,0.488,0.532,0.254,NA,0.505
Brachymyrmex patagonicus,casent0915986,0.402,0.444,0.198,0.143,0.435
Brachymyrmex patagonicus,casent0915987,0.412,0.464,0.0225,0.1365,0.4905
Brachyponera chinensis,CASENT0104738,0.812,0.917,0.502,0.1445,1.327
Brachyponera chinensis,CASENT0246023,0.893,1.043,0.583,0.163,1.621
Brachyponera chinensis,CASENT0649763,0.941,1.054,0.577,0.182,1.694
Brachyponera chinensis,CASENT0902494,0.935,1.022,0.619,0.1715,1.655
Brachyponera chinensis,CASENT0903937,1.142,1.263,0.717,0.218,1.725
Camponotus americanus,casent0172605,2.248,2.647,1.062,0.6075,3.601
Camponotus americanus,casent0179851,1.877,2.369,0.902,0.542,3.28
Camponotus americanus,casent0280004,2.177,2.5,0.94,0.5755,3.413
Camponotus americanus,casent0911614,1.909,2.357,0.826,0.5685,3.634
Camponotus americanus,casent0280005,1.3065,1.974,0.2195,0.4665,3.043
Camponotus americanus,casent0911613,2.693,3.019,0.2365,0.629,3.889
Camponotus chromaiodes,CASENT0104763,2.652,2.711,1.132,0.582,3.742
Camponotus chromaiodes,FMNHINS0000045774,3.71,3.383,1.381,0.701,NA
Camponotus chromaiodes,CASENT0102534,3.746,3.274,1.495,0.717,4.533
Camponotus caryae,casent0103652,1.526,1.62,0.3505,0.38,2.2965
Camponotus caryae,casent0249371,1.229,1.384,0.565,0.41,1.878
Camponotus caryae,casent0914444,1.194,1.341,0.474,NA,1.928
Camponotus caryae,fmnhins0000045723,2.105,2.098,0.743,0.4675,2.701
Camponotus castaneus,casent0104761,1.891,2.367,0.819,0.5875,3.886
Camponotus castaneus,casent0280007,1.543,2.117,0.887,0.546,NA
Camponotus castaneus,casent0906103,2.125,2.684,0.99,0.6375,3.992
Camponotus castaneus,casent0103654,1.5425,2.186,0.3185,0.5355,3.283
Camponotus castaneus,casent0103653,2.695,3.076,1.077,0.6785,4.133
Camponotus castaneus,casent0104977,3.532,3.415,1.222,0.754,4.849
Camponotus castaneus,casent0280006,3.033,3.157,1.103,0.67,4.233
Camponotus castaneus,casent0172603,1.848,2.203,0.2945,0.5025,3.4595
Camponotus decipiens,casent0249367,1.316,1.513,0.551,0.3925,2.164
Camponotus decipiens,casent0905404,1.019,1.208,0.429,0.3405,NA
Camponotus decipiens,fmnhins0000045842,0.991,1.157,0.432,0.3165,1.771
Camponotus decipiens,casent0103667,1.073,1.325,0.2135,0.3295,2.014
Camponotus decipiens,casent0103658,2.055,2.055,0.67,0.447,2.825
Camponotus decipiens,casent0103666,3.207,3.383,1.19,0.8435,5.305
Camponotus decipiens,casent0249368,2.294,2.398,0.4325,0.494,2.901
Camponotus discolor,casent0249369,1.3,1.428,0.511,0.3705,1.839
Camponotus discolor,casent0103668,1.939,1.902,0.671,0.4395,2.86
Camponotus discolor,casent0103670,1.7875,1.867,0.266,0.438,2.3825
Camponotus floridanus,casent0103673,1.44,1.776,0.703,0.482,2.754
Camponotus floridanus,fmnhins0000062856,1.326,1.74,0.318,0.4425,2.7505
Camponotus floridanus,casent0103672,3.291,3.241,1.206,0.709,3.662
Camponotus floridanus,casent0104894,3.0765,3.184,0.446,0.6185,3.713
Camponotus inaequalis,CASENT0103716,2.187,2.531,0.917,0.6715,3.431
Camponotus inaequalis,CASENT0103717,1.137,1.802,0.673,0.5095,2.734
Camponotus inaequalis,CASENT0103721,1.996,2.364,0.777,0.5385,2.757
Camponotus inaequalis,CASENT0280041,1.886,2.333,0.768,0.5915,3.297
Camponotus inaequalis,CASENT0280042,0.961,1.572,0.506,0.4605,2.369
Camponotus inaequalis,CASENT0905263,2.07,2.405,0.917,0.5555,3.175
Camponotus nearcticus,casent0103685,1.0075,1.21,0.1,0.3105,1.718
Camponotus nearcticus,casent0103689,1.5115,1.664,0.224,0.403,2.5275
Camponotus novaeboracensis,ANTWEB1041671,2.334,2.308,0.931,0.521,3.128
Camponotus novaeboracensis,CASENT0103348,2.828,2.498,1.039,0.577,3.427
Camponotus novaeboracensis,CASENT0103349,2.54,2.356,0.98,NA,3.453
Camponotus novaeboracensis,CASENT0179612,1.564,1.678,0.596,0.415,2.612
Camponotus novaeboracensis,CASENT0179847,1.801,1.89,0.723,0.421,2.639
Camponotus novaeboracensis,CASENT0280012,2.657,2.406,0.903,0.52,3.091
Camponotus novaeboracensis,CASENT0280013,1.328,1.462,0.579,0.3815,2.006
Camponotus novogranadensis,casent0280072,0.978,1.146,0.44,0.311,1.669
Camponotus novogranadensis,ecofog-it14-0821-05,1.111,1.271,0.602,0.3045,1.456
Camponotus novogranadensis,casent0173434,1.07,1.361,0.1215,0.3405,1.386
Camponotus novogranadensis,casent0915797,1.714,1.882,0.64,0.3785,2.344
Camponotus novogranadensis,casent0280071,1.839,2.062,0.3775,0.4115,2.273
Camponotus pennsylvanicus,antweb1038001,2.924,2.671,1.192,0.592,3.752
